parkname,rum_mean_per_trip,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mdcev_mean_per_person,std.dev,ci_lo2.5%,ci_hi97.5%,rum_annual_total,mdcev_annual_total,difference,year
Kuliouou Trail,-2.538751823908889,2.4162731545299683,-2.6828605311970697,-2.3946431166207085,-2741.8519698216,10,-0.189301289948964,0.04511336890505299,-0.28965943077295697,-0.11976401751887747,-4287.951830582114,-255.17813885120347,-4032.7736917309103,2020
Lonomea,-12.31401077092759,12.087085451636318,-13.034895434174995,-11.593126107680185,-13299.131632601797,11,-6.6530647192561245,0.7975964594587793,-7.967880475710091,-5.534647971194344,-20798.3641920967,-8968.331241557256,-11830.032950539442,2020
Maakua Ridge Trail,-0.9774442123867655,0.9031398306472541,-1.0313082853501387,-0.9235801394233923,-1055.6397493777067,12,-0.13617769528811718,0.05669974290407001,-0.252670274212405,-0.05360203131530647,-1650.9032747212468,-183.56753324838198,-1467.3357414728648,2020
Manana Trail,-2.249661493521123,1.9227366627141338,-2.3643352399060698,-2.1349877471361767,-2429.6344130028133,13,-0.16995910893816937,0.04429905850161729,-0.2470280081083271,-0.09949110340101666,-3799.6782625571773,-229.1048788486523,-3570.573383708525,2020
Peacock Flats Campsite,-65.96495332669335,55.97064457770096,-69.30309298240944,-62.626813670977256,-71242.14959282882,14,-13.731523310333017,1.0794676420012816,-15.798179923742326,-12.138682670233674,-111414.80616878506,-18510.093422328908,-92904.71274645615,2020
Sugi Grove,-16.870156062198134,16.868420641334993,-17.87620386273703,-15.864108261659242,-18219.768547173986,15,-6.47698918300377,0.6143807366181644,-7.522533065270876,-5.57294103729243,-28493.693589052647,-8730.981418689082,-19762.712170363564,2020
Waialae Cabin Campsite,-1.6835085182582872,1.6127445959457922,-1.7796940585694188,-1.5873229779471556,-1818.1891997189502,16,-0.758670585442319,0.2332624397153783,-1.2160219414666635,-0.48021646531888085,-2843.445887338247,-1022.6879491762461,-1820.7579381620008,2020
Waikoali,-11.349279455663797,11.209376814022377,-12.017816785206369,-10.680742126121226,-12257.2218121169,17,-3.3630378261411784,0.4344307681123979,-4.222392484451055,-2.6325756800332756,-19168.933000616154,-4533.374989638309,-14635.558010977846,2020
Waikolu,-1.9689588304129964,2.0215028718643837,-2.0895230824709925,-1.848394578355,-2126.475536846036,18,-1.7520426359203023,0.4544745638793062,-2.7408128327663377,-1.173324015783526,-3325.5714645675507,-2361.7534732205677,-963.817991346983,2020
Waimano Trail,-0.6967751113885311,0.5971397981505467,-0.7323890667976992,-0.661161155979363,-752.5171202996136,19,-0.0657730478631319,0.032878679278028254,-0.138047139476921,-0.021519368249603352,-1176.8531631352291,-88.6620685195018,-1088.1910946157273,2020
Waimanu Campsite,-15.106658887014744,43.72777798872177,-17.714622952139276,-12.498694821890213,-16315.191597975923,20,-6.06230137539511,0.5604442627712651,-7.121340908979954,-5.129607528830507,-25515.1468601679,-8171.982254032609,-17343.16460613529,2020
Wiliwili,-3.6929021948198746,3.4773025132664706,-3.900291648738735,-3.4855127409010143,-3988.3343704054646,21,-2.520251863405582,0.42378482409469326,-3.2686665381171047,-1.7728647823431962,-6237.311807050768,-3397.299511870725,-2840.012295180043,2020
Wiliwilinui Ridge Trail,-0.5571087230010533,0.5192227713062633,-0.5880756367488856,-0.526141809253221,-601.6774208411375,22,-0.060186369430415255,0.028337963036377183,-0.11219251685789079,-0.022115317987445315,-940.956633148779,-81.13122599219976,-859.8254071565792,2020
Ainapo Cabin,-1.6296493493822046,3.8817719803649813,-1.7921540086120284,-1.4671446901523808,-3572.1913738457924,1,-1.1990250324175415,0.2546938314188011,-1.7086167776894927,-0.7941368360191908,-2752.4777511065436,-1616.285743698846,-1136.1920074076975,2021
Hipalau,-1.9550959214180745,2.9140524847251204,-2.077088431128434,-1.833103411707715,-4285.57025974842,2,-1.130757233944939,0.2351616054044146,-1.5509006534091658,-0.7697283244093711,-3302.157011275128,-1524.2607513577777,-1777.89625991735,2021
Kaluahaulu,-2.5291959288423675,3.7775283458374056,-2.687336582048275,-2.37105527563646,-5543.9974760224695,3,-1.5333510990352677,0.3184529771551632,-2.233400464765091,-1.0402686008429751,-4271.811923814759,-2066.957281499541,-2204.8546423152184,2021
Kamananui Trail,-0.961774271591427,0.6327905063841006,-0.9882651129195534,-0.9352834302633006,-2108.209203328408,4,-0.20492334767462062,0.07305770603506269,-0.3648504046518911,-0.09779356222609054,-1624.4367447179202,-276.2366726653886,-1348.2000720525316,2021
Kaunala Trail,-2.282370800103598,1.6021034009501165,-2.349440496247332,-2.2153011039598636,-5002.956793827087,5,-0.4814185856742151,0.08476788313422215,-0.6227866800818711,-0.3585530404892412,-3854.9242813749765,-648.952253488842,-3205.9720278861346,2021
Kawaikoi,-9.368033207399185,14.197235733936388,-9.962379543716416,-8.773686871081953,-20534.728790619014,6,-3.6300882571792306,0.3347405301608375,-4.401411992953646,-3.181360600187902,-15822.608087297223,-4893.358970677603,-10929.24911661962,2021
Keanakolu Ranger & Bunkhouse Cabins,-1.5487447575828757,3.352552821937722,-1.6890944372226746,-1.4083950779430767,-3394.8485086216633,7,-0.7520225789812355,0.1404826858672839,-1.0341471389383616,-0.532365468558565,-2615.829895557477,-1013.7264364667054,-1602.1034590907716,2021
Kuaokala Trail,-26.377788914809443,16.650343830810176,-27.07483100382746,-25.680746825791427,-57820.113301262296,8,-7.798052514084765,0.5437858618596277,-8.77009327238829,-6.910542052586845,-44552.08547711315,-10511.774788986264,-34040.31068812688,2021
Kulanaahane Trail,-1.169024895231255,0.7693787461697431,-1.2012338017815123,-1.1368159886809976,-2562.502570346911,9,-0.08365552595158185,0.024343283038421114,-0.13395748829434648,-0.047844607050610236,-1974.4830480455896,-112.76764898273234,-1861.7153990628572,2021
Kuliouou Trail,-5.412250130102584,3.952897524650828,-5.5777323553499825,-5.246767904855186,-11863.652285184864,10,-0.7919159339522686,0.12120792999371541,-1.0084265170947373,-0.6088766945231014,-9141.290469743264,-1067.502678967658,-8073.7877907756065,2021
Lonomea,-5.738666823283382,8.551782626476191,-6.0966745910122775,-5.380659055554487,-12579.157676637175,11,-2.012521045969222,0.27645912157127944,-2.6941171861025106,-1.6765020807255626,-9692.608264525632,-2712.8783699665114,-6979.729894559121,2021
Maakua Ridge Trail,-1.3771544748511375,0.9808684425228815,-1.4182170856401621,-1.3360918640621129,-3018.7226088736934,12,-0.21681812317695193,0.05382657185851639,-0.30691712091486145,-0.13617330219191454,-2326.0139080235713,-292.2708300425312,-2033.7430779810402,2021
