parkname,mean_cv_rum,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mean,std.dev,ci_lo2.5%,ci_hi97.5%,year
Peacock Flats Campsite,-71.98809756163891,58.30657929277576,-74.70984284108513,-69.26635228219268,-126915.0160011694,14,-13.731523310333017,1.0794676420012816,-15.798179923742326,-12.138682670233674,2020
Sugi Grove,-7.1701014405711305,11.958552608652335,-7.728325478173721,-6.61187740296854,-12640.888839726904,15,-6.47698918300377,0.6143807366181644,-7.522533065270876,-5.57294103729243,2020
Waialae Cabin Campsite,-0.7520751644961616,1.1965501561328613,-0.8079300058978895,-0.6962203230944337,-1325.9085150067328,16,-0.758670585442319,0.2332624397153783,-1.2160219414666635,-0.48021646531888085,2020
Waikoali,-3.6900989065352143,6.031249750261993,-3.9716370405853922,-3.4085607724850364,-6505.644372221583,17,-3.3630378261411784,0.4344307681123979,-4.222392484451055,-2.6325756800332756,2020
Waikolu,-0.6551958611549391,0.6032003164602238,-0.6833531914905484,-0.6270385308193298,-1155.1103032161577,18,-1.7520426359203023,0.4544745638793062,-2.7408128327663377,-1.173324015783526,2020
Waimano Trail,-1.0311804388516792,0.8407683302423781,-1.0704274202678676,-0.9919334574354909,-1817.9711136955104,19,-0.0657730478631319,0.032878679278028254,-0.138047139476921,-0.021519368249603352,2020
Waimanu Campsite,-63.92128057432425,82.14557167220737,-67.75582762953015,-60.086733519118354,-112693.21765253365,20,-6.06230137539511,0.5604442627712651,-7.121340908979954,-5.129607528830507,2020
Wiliwili,-2.88359919590231,4.5565294014743705,-3.0962975318284824,-2.670900859976138,-5083.785382375773,21,-2.520251863405582,0.42378482409469326,-3.2686665381171047,-1.7728647823431962,2020
Wiliwilinui Ridge Trail,-1.0315169338843533,0.9046171963992644,-1.0737443739755033,-0.9892894937932032,-1818.5643544381148,22,-0.060186369430415255,0.028337963036377183,-0.11219251685789079,-0.022115317987445315,2020
Ainapo Cabin,-1.6296493493822046,3.8817719803649813,-1.7921540086120284,-1.4671446901523808,-3572.1913738457924,1,-1.1990250324175415,0.2546938314188011,-1.7086167776894927,-0.7941368360191908,2021
Hipalau,-1.9550959214180745,2.9140524847251204,-2.077088431128434,-1.833103411707715,-4285.57025974842,2,-1.130757233944939,0.2351616054044146,-1.5509006534091658,-0.7697283244093711,2021
Kaluahaulu,-2.5291959288423675,3.7775283458374056,-2.687336582048275,-2.37105527563646,-5543.9974760224695,3,-1.5333510990352677,0.3184529771551632,-2.233400464765091,-1.0402686008429751,2021
Kamananui Trail,-0.961774271591427,0.6327905063841006,-0.9882651129195534,-0.9352834302633006,-2108.209203328408,4,-0.20492334767462062,0.07305770603506269,-0.3648504046518911,-0.09779356222609054,2021
Kaunala Trail,-2.282370800103598,1.6021034009501165,-2.349440496247332,-2.2153011039598636,-5002.956793827087,5,-0.4814185856742151,0.08476788313422215,-0.6227866800818711,-0.3585530404892412,2021
Kawaikoi,-9.368033207399185,14.197235733936388,-9.962379543716416,-8.773686871081953,-20534.728790619014,6,-3.6300882571792306,0.3347405301608375,-4.401411992953646,-3.181360600187902,2021
Keanakolu Ranger & Bunkhouse Cabins,-1.5487447575828757,3.352552821937722,-1.6890944372226746,-1.4083950779430767,-3394.8485086216633,7,-0.7520225789812355,0.1404826858672839,-1.0341471389383616,-0.532365468558565,2021
Kuaokala Trail,-26.377788914809443,16.650343830810176,-27.07483100382746,-25.680746825791427,-57820.113301262296,8,-7.798052514084765,0.5437858618596277,-8.77009327238829,-6.910542052586845,2021
Kulanaahane Trail,-1.169024895231255,0.7693787461697431,-1.2012338017815123,-1.1368159886809976,-2562.502570346911,9,-0.08365552595158185,0.024343283038421114,-0.13395748829434648,-0.047844607050610236,2021
Kuliouou Trail,-5.412250130102584,3.952897524650828,-5.5777323553499825,-5.246767904855186,-11863.652285184864,10,-0.7919159339522686,0.12120792999371541,-1.0084265170947373,-0.6088766945231014,2021
Lonomea,-5.738666823283382,8.551782626476191,-6.0966745910122775,-5.380659055554487,-12579.157676637175,11,-2.012521045969222,0.27645912157127944,-2.6941171861025106,-1.6765020807255626,2021
Maakua Ridge Trail,-1.3771544748511375,0.9808684425228815,-1.4182170856401621,-1.3360918640621129,-3018.7226088736934,12,-0.21681812317695193,0.05382657185851639,-0.30691712091486145,-0.13617330219191454,2021
Manana Trail,-3.758498436223708,2.4169683572499134,-3.8596812520230106,-3.6573156204244057,-8238.628572202368,13,-0.37677036384047763,0.05525660326109788,-0.4840599955618839,-0.2996019276539278,2021
Peacock Flats Campsite,-73.16128430529596,46.66090493165104,-75.11467427606911,-71.20789433452282,-160369.53519720875,14,-20.369070450109938,0.8638979029803218,-22.102355517563375,-18.946096222482602,2021
Sugi Grove,-7.5593280613228195,11.406381709994466,-8.036839409800754,-7.081816712844885,-16570.047110419622,15,-2.72706677376119,0.3387791361703204,-3.4065210167507085,-2.149263442934391,2021
Waialae Cabin Campsite,-1.176932188185696,1.7268774358767682,-1.2492253652883964,-1.1046390110829956,-2579.8353565030457,16,-0.5436030996001285,0.13412842378140372,-0.7827864521027105,-0.3118555011536275,2021
Waikoali,-6.365670631746161,9.566100987836142,-6.766141341785195,-5.965199921707127,-13953.550024787584,17,-2.2235637776000243,0.2508184652372807,-2.68085457890971,-1.8310538623810022,2021
Waikolu,-0.5499767934063338,0.7676086955548242,-0.5821115993980184,-0.5178419874146492,-1205.5491311466835,18,-0.37973224868933136,0.1661131515073871,-0.8162160892539526,-0.20880852368672642,2021
Waimano Trail,-1.9322674226704246,1.247363254842063,-1.9844864457581368,-1.8800483995827124,-4235.53019049357,19,-0.20981625524798395,0.033013549182564134,-0.27858539950832706,-0.1497804333932296,2021
Waimanu Campsite,-31.39795622557324,78.12884006347227,-34.668704892614265,-28.127207558532216,-68824.32004645655,20,-12.726913614609805,1.023110043082555,-14.620658520545495,-11.038739617901342,2021
Wiliwili,-2.887858460777365,4.186319190108571,-3.0631125398054437,-2.7126043817492866,-6330.185746023984,21,-1.7179892913742576,0.3339509469938637,-2.4722826955199597,-1.2672882637849305,2021
Wiliwilinui Ridge Trail,-0.8929639534404736,0.6322635142505417,-0.9194327330201219,-0.8664951738608254,-1957.3769859415181,22,-0.19424643456446156,0.058675138917469456,-0.31168857438667197,-0.10486272796128097,2021
Ainapo Cabin,-3.6289839892929656,11.144090049282031,-4.128117001808763,-3.129850976777168,-6949.504339496029,1,-1.7383130606593205,0.25819801078255694,-2.1951370986077547,-1.3362387203119253,2022
Hipalau,-2.4877884974632325,3.095409109363221,-2.6264288769731636,-2.3491481179533014,-4764.11497264209,2,-1.8447122231708977,0.38673573766723707,-2.521401502858077,-1.2412774891849252,2022
Kaluahaulu,-2.242386921868753,2.7873537243353805,-2.3672297986960342,-2.117544045041472,-4294.170955378662,3,-1.4740188101304148,0.25456185448737406,-1.9333980394134316,-1.0316934096144723,2022
Kamananui Trail,-0.6306612613809268,0.43001695795967215,-0.6499213049295806,-0.6114012178322731,-1207.7163155444748,4,-0.042322463038241824,0.01510487903223384,-0.07654695919790744,-0.0221878604292125,2022
Kaunala Trail,-1.984667618102338,1.4466510455373487,-2.049461718941886,-1.9198735172627897,-3800.638488665977,5,-0.4514617215240073,0.10952559061467826,-0.638977448456769,-0.2587256128478307,2022
Kawaikoi,-13.0697081615908,16.68644779179866,-13.81707801571762,-12.32233830746398,-25028.491129446382,6,-5.433623336217758,0.4468691201693772,-6.1640395721476695,-4.732872855553557,2022
Keanakolu Ranger & Bunkhouse Cabins,-3.7488044684200714,10.323198180623628,-4.211170528269367,-3.286438408570776,-7178.960557024437,7,-1.259508220359294,0.23200721573421335,-1.7571040492639023,-0.9722633496487758,2022
Kuaokala Trail,-21.646831153076697,14.18938893249413,-22.282360156549746,-21.011302149603647,-41453.681658141875,8,-5.8319174713689295,0.539769054816222,-6.955668325573114,-5.016894354980598,2022
Kulanaahane Trail,-0.7889336059805071,0.5380753927372287,-0.8130334822871291,-0.7648337296738851,-1510.807855452671,9,-0.07354113647630943,0.021569196909147405,-0.11580711608427503,-0.04420789134423989,2022
Kuliouou Trail,-4.505970362079447,3.4411972837780667,-4.660098259405975,-4.351842464752918,-8628.93324338214,10,-0.5636209060842109,0.08821583406028233,-0.7518786418438794,-0.422808983848183,2022
Lonomea,-9.250535602127783,11.58811270257928,-9.769555959737296,-8.73151524451827,-17714.775678074704,11,-5.294849685623784,0.5932185810374541,-6.215636292084217,-4.262558871930385,2022
Maakua Ridge Trail,-1.6645445329296646,1.2285310961904623,-1.719569252247182,-1.6095198136121474,-3187.602780560308,12,-0.3357399874538425,0.06552890443869064,-0.46732631957469284,-0.2048943380072307,2022
Manana Trail,-4.087208825637735,2.723342729550466,-4.20918471193283,-3.96523293934264,-7827.004901096262,13,-0.5207309346463813,0.07316827252995926,-0.6478583352200338,-0.37821479018390924,2022
Peacock Flats Campsite,-79.62825932402703,52.96646053680646,-82.00057585172222,-77.25594279633184,-152488.11660551175,14,-21.92489261354822,0.9535484364585777,-23.856988561881042,-20.447494505259662,2022
Sugi Grove,-8.434003303541699,10.612356868457358,-8.909320501286983,-7.9586861057964144,-16151.116326282354,15,-3.0819512318311477,0.3163256626696359,-3.7020067423973186,-2.6404758766390453,2022
Waialae Cabin Campsite,-1.6732706214543844,2.040280606123412,-1.7646528160354078,-1.581888426873361,-3204.3132400851464,16,-1.018947745435047,0.2119042881876588,-1.4848037852554776,-0.6755019287756623,2022
Waikoali,-6.8224052365106695,8.536495489921249,-7.204746611299401,-6.440063861721938,-13064.906027917932,17,-2.956201966735513,0.40624869803757985,-3.5476420122768717,-2.275648210934154,2022
Waikolu,-0.5538412290832886,0.934913367948895,-0.5957150943986256,-0.5119673637679516,-1060.6059536944977,18,-0.5251389198532832,0.19383899798640047,-0.9400547862913275,-0.27921395401822513,2022
Waimano Trail,-1.3447083008175251,0.8997527008729744,-1.3850073538689573,-1.304409247766093,-2575.116396065561,19,-0.15290407675158593,0.03614477301453951,-0.22036341530952996,-0.09184632218346551,2022
Waimanu Campsite,-10.366861293425622,29.474079910876515,-11.686976819411967,-9.046745767439276,-19852.539376910066,20,-4.583873245399629,0.4993320976216615,-5.6464464522413635,-3.7837073309814397,2022
Wiliwili,-3.474972200282697,4.169822128891169,-3.6617344995502425,-3.288209901015151,-6654.571763541365,21,-3.17829537409872,0.3895184048714453,-3.857756061482873,-2.4096409234321507,2022
Wiliwilinui Ridge Trail,-1.1860547285300487,0.8754671837007981,-1.2252660567611457,-1.1468434002989516,-2271.294805135043,22,-0.11948928960933317,0.034443768107253074,-0.1790797518266809,-0.06465507456434083,2022
Ainapo Cabin,-4.933479177982263,14.121248314262585,-5.5847629968736685,-4.282195359090857,-8909.863395435967,1,-2.9758512270660216,0.48202976403127895,-4.192893391646866,-2.2504880666862697,2023
Hipalau,-2.2504136302418076,2.9201765588873068,-2.3850946229404766,-2.1157326375431387,-4064.2470162167047,2,-1.3672677982884183,0.23169448311776691,-1.823137568970003,-1.0411705393103217,2023
Kaluahaulu,-1.354877908917418,1.752265647617042,-1.4356938706011741,-1.274061947233662,-2446.909503504857,3,-1.05837719137822,0.36483282432792286,-1.9900164188635454,-0.6749649910110381,2023
Kamananui Trail,-0.47336248098452643,0.3415062132988463,-0.48911303403922857,-0.4576119279298243,-854.8926406580547,4,-0.029750960834618832,0.009982949762090179,-0.04763504037987189,-0.01631438987096614,2023
Kaunala Trail,-2.1501533984864043,1.6321520177977802,-2.2254296187968294,-2.074877178175979,-3883.1770376664463,5,-0.5175801184215121,0.12880618028121033,-0.8176469593516398,-0.3275996986415074,2023
Kawaikoi,-13.381913013807644,17.853989786712358,-14.205354000890477,-12.558472026724811,-24167.734902936605,6,-5.425194717148715,0.6010503898651403,-6.418539027957818,-4.442478400359477,2023
